company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_departure_datetime_local,scheduled_ground_time_minutes,minimum_turn_minutes,ground_time_deficit,total_seats,total_pax_flight,passenger_load_pct,checked_bags,transfer_bags,transfer_to_checked_ratio,hot_transfer_bags,ssr_count,departure_delay_minutes,difficulty_score,daily_rank,daily_pct_rank,difficulty_class
OO,4792,2025-08-04,ORD,2025-08-04 17:57:00+00:00,42,34,8,76,65,0.8552631578947368,0,16,0.0,16,3.0,7.0,79.68913108724544,429.0,0.7592920353982301,Medium
UA,920,2025-08-03,ORD,2025-08-03 18:05:00+00:00,235,145,90,167,171,1.0239520958083832,0,16,0.0,16,3.0,22.0,92.99393150420082,97.0,0.177007299270073,Difficult
UA,1776,2025-08-10,ORD,2025-08-10 18:20:00+00:00,76,51,25,166,180,1.0843373493975903,0,1,0.0,1,0.0,111.0,84.74502528898402,332.0,0.5960502692998204,Medium
OO,5790,2025-08-06,ORD,2025-08-06 18:20:00+00:00,223,29,194,50,55,1.1,0,0,0.0,0,2.0,105.0,79.99044396554513,379.0,0.7549800796812749,Medium
UA,1398,2025-08-05,ORD,2025-08-05 18:20:00+00:00,75,51,24,166,136,0.8192771084337349,0,0,0.0,0,2.0,-4.0,82.93193512499654,346.0,0.6565464895635673,Medium
OO,5470,2025-08-07,ORD,2025-08-07 08:40:00+00:00,49,34,15,76,73,0.9605263157894737,0,3,0.0,3,0.0,-4.0,93.10940714360397,86.0,0.1552346570397112,Difficult
UA,374,2025-08-15,ORD,2025-08-15 16:10:00+00:00,54,43,11,126,128,1.0158730158730158,0,2,0.0,2,3.0,28.0,77.4874823327968,453.0,0.814748201438849,Easy
UA,1577,2025-08-15,ORD,2025-08-15 14:40:00+00:00,123,66,57,234,261,1.1153846153846154,0,0,0.0,0,2.0,-1.0,82.32142488933427,347.0,0.6241007194244604,Medium
UA,881,2025-08-03,ORD,2025-08-03 12:50:00+00:00,365,155,210,318,370,1.1635220125786163,0,15,0.0,15,8.0,25.0,76.20192206634027,455.0,0.8302919708029197,Easy
UA,2006,2025-08-09,ORD,2025-08-09 09:14:00+00:00,90,65,25,166,188,1.1325301204819278,0,0,0.0,0,27.0,10.0,86.30828570562753,247.0,0.4740882917466411,Medium
